97988775,852283.02,6
90837261,1776257.40,14
96925213,471948.98,56
97687611,849206.85,47
90251542,878439.19,9
99792020,432107.95,55
99456993,1676602.38,52
91668387,1980439.23,53
97717004,853368.22,8
90862850,1264645.87,30
99493936,37329.10,58
93182966,1742978.32,54
94523817,161271.42,23
96829419,363081.73,43
94222780,323362.90,21
99196695,1810063.07,11
92818639,1551261.84,27
91395901,228164.07,15
92993590,19676.22,36
95646752,528208.50,55
91587004,1771538.33,50
90980133,1977305.33,58
97687098,1628167.52,55
97444581,1836000.35,35
95159950,1425013.85,47
90153474,21260.76,29
99499965,426224.60,4
94843051,1282759.51,42
92011384,448114.06,3
99932482,907705.71,4
95898658,1547003.70,26
95710565,153778.98,43
91291590,843329.44,27
99368381,1835500.60,39
97380923,718005.97,24
99697913,388386.55,24
99894328,871738.27,29
98325889,1445253.83,51
97721569,178509.74,43
98606543,240657.02,4
95009256,1946660.89,9
94779693,1925636.39,42
98037470,23069.50,6
95841045,1294034.45,47
93493097,373016.22,50
91328525,660101.48,47
94046255,1860271.60,27
96063816,1123173.68,41
91831612,56606.21,41
94023267,1136876.14,40
99373836,1483696.11,51
93879925,1578369.01,49
93364768,170969.43,49
99146183,255592.68,8
96786613,642841.39,18
90367093,1255744.44,58
96302270,1701696.22,54
97602111,113303.76,56
90399637,1184879.10,46
97098213,262576.89,7
97277414,1533002.98,20
92371730,1103525.36,13
93352225,1533415.20,38
98902077,1250041.55,21
99691860,902288.62,59
90717133,1659026.23,25
95732115,783659.53,40
96547388,884444.94,15
93643514,426681.29,32
99749595,769240.20,18
97864987,298385.30,11
95898879,1502779.26,14
99924289,1104698.87,30
92758202,1634429.98,30
99312047,273394.00,15
94181722,962120.09,46
95862637,486428.25,51
98660079,424821.13,45
99679067,91125.19,8
99092157,1204481.29,23
98279508,1738983.85,27
95638872,1857712.68,47
91450539,1877807.85,40
93597954,281104.76,47
99130325,148634.99,29
94681033,319861.26,47
99564980,874574.15,46
94581415,1144686.81,30
97271104,1966910.84,16
92465902,1278904.44,29
94641646,537377.54,13
97687888,138929.80,38
98495422,1029212.36,11
97081234,1750696.99,4
93786627,1963746.72,42
90820104,1121991.00,25
95481395,1038180.87,31
94276950,1430293.00,28
91116911,1711308.47,49
93601236,574133.67,4
